"","title","type","text"
"85","The Tragedy of Romeo and Juliet","Tragedy","    Maskers, Torchbearers, Pages, Guards, Watchmen, Servants, and"
"86","The Tragedy of Romeo and Juliet","Tragedy","    Attendants."
"87","The Tragedy of Romeo and Juliet","Tragedy",""
"88","The Tragedy of Romeo and Juliet","Tragedy","                            SCENE.--Verona; Mantua."
"89","The Tragedy of Romeo and Juliet","Tragedy",""
"90","The Tragedy of Romeo and Juliet","Tragedy",""
"91","The Tragedy of Romeo and Juliet","Tragedy",""
"92","The Tragedy of Romeo and Juliet","Tragedy","                        THE PROLOGUE"
"93","The Tragedy of Romeo and Juliet","Tragedy",""
"94","The Tragedy of Romeo and Juliet","Tragedy","                        Enter Chorus."
"95","The Tragedy of Romeo and Juliet","Tragedy",""
"96","The Tragedy of Romeo and Juliet","Tragedy",""
"97","The Tragedy of Romeo and Juliet","Tragedy","  Chor. Two households, both alike in dignity,"
"98","The Tragedy of Romeo and Juliet","Tragedy","    In fair Verona, where we lay our scene,"
"99","The Tragedy of Romeo and Juliet","Tragedy","    From ancient grudge break to new mutiny,"
"100","The Tragedy of Romeo and Juliet","Tragedy","    Where civil blood makes civil hands unclean."
"101","The Tragedy of Romeo and Juliet","Tragedy","    From forth the fatal loins of these two foes"
"102","The Tragedy of Romeo and Juliet","Tragedy","    A pair of star-cross'd lovers take their life;"
"103","The Tragedy of Romeo and Juliet","Tragedy","    Whose misadventur'd piteous overthrows"
"104","The Tragedy of Romeo and Juliet","Tragedy","    Doth with their death bury their parents' strife."
"105","The Tragedy of Romeo and Juliet","Tragedy","    The fearful passage of their death-mark'd love,"
"106","The Tragedy of Romeo and Juliet","Tragedy","    And the continuance of their parents' rage,"
"107","The Tragedy of Romeo and Juliet","Tragedy","    Which, but their children's end, naught could remove,"
"108","The Tragedy of Romeo and Juliet","Tragedy","    Is now the two hours' traffic of our stage;"
"109","The Tragedy of Romeo and Juliet","Tragedy","    The which if you with patient ears attend,"
"110","The Tragedy of Romeo and Juliet","Tragedy","    What here shall miss, our toil shall strive to mend."
"111","The Tragedy of Romeo and Juliet","Tragedy","                                                         [Exit.]"
"112","The Tragedy of Romeo and Juliet","Tragedy",""
"113","The Tragedy of Romeo and Juliet","Tragedy",""
"114","The Tragedy of Romeo and Juliet","Tragedy",""
"115","The Tragedy of Romeo and Juliet","Tragedy",""
"116","The Tragedy of Romeo and Juliet","Tragedy","ACT I. Scene I."
"117","The Tragedy of Romeo and Juliet","Tragedy","Verona. A public place."
"118","The Tragedy of Romeo and Juliet","Tragedy",""
"119","The Tragedy of Romeo and Juliet","Tragedy","Enter Sampson and Gregory (with swords and bucklers) of the house"
"120","The Tragedy of Romeo and Juliet","Tragedy","of Capulet."
"121","The Tragedy of Romeo and Juliet","Tragedy",""
"122","The Tragedy of Romeo and Juliet","Tragedy",""
"123","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Gregory, on my word, we'll not carry coals."
"124","The Tragedy of Romeo and Juliet","Tragedy",""
"125","The Tragedy of Romeo and Juliet","Tragedy","  Greg. No, for then we should be colliers."
"126","The Tragedy of Romeo and Juliet","Tragedy",""
"127","The Tragedy of Romeo and Juliet","Tragedy","  Samp. I mean, an we be in choler, we'll draw."
"128","The Tragedy of Romeo and Juliet","Tragedy",""
"129","The Tragedy of Romeo and Juliet","Tragedy","  Greg. Ay, while you live, draw your neck out of collar."
"130","The Tragedy of Romeo and Juliet","Tragedy",""
"131","The Tragedy of Romeo and Juliet","Tragedy","  Samp. I strike quickly, being moved."
"132","The Tragedy of Romeo and Juliet","Tragedy",""
"133","The Tragedy of Romeo and Juliet","Tragedy","  Greg. But thou art not quickly moved to strike."
"134","The Tragedy of Romeo and Juliet","Tragedy",""
"135","The Tragedy of Romeo and Juliet","Tragedy","  Samp. A dog of the house of Montague moves me."
"136","The Tragedy of Romeo and Juliet","Tragedy",""
"137","The Tragedy of Romeo and Juliet","Tragedy","  Greg. To move is to stir, and to be valiant is to stand."
"138","The Tragedy of Romeo and Juliet","Tragedy","    Therefore, if thou art moved, thou runn'st away."
"139","The Tragedy of Romeo and Juliet","Tragedy",""
